,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
271,Raudeberg,NO,1589910060,61.99,5.14,46.0,71,1,14.92
272,Leningradskiy,RU,1589910060,69.38,178.42,26.06,97,98,2.06
273,Lázaro Cárdenas,MX,1589910060,17.96,-102.2,87.31,41,0,10.71
274,Angoche,MZ,1589910060,-16.23,39.91,72.82,84,36,9.22
275,Susanville,US,1589910060,40.42,-120.65,53.6,40,75,12.75
276,Beringovskiy,RU,1589910060,63.05,179.32,28.56,96,100,14.41
277,Ketchikan,US,1589910061,55.34,-131.65,48.2,100,90,17.22
278,São Domingos,BR,1589910061,-13.4,-46.32,78.57,65,65,10.71
279,Hangu,CN,1589910061,39.25,117.79,68.0,49,72,4.47
280,Asău,RO,1589910061,46.43,26.4,77.0,47,26,6.93
281,Fortuna,US,1589910062,40.6,-124.16,57.0,93,90,10.29
282,Torremolinos,ES,1589910050,36.62,-4.5,81.0,42,20,6.93
283,Brenes,ES,1589910062,37.55,-5.87,90.0,29,50,2.24
284,Yumen,CN,1589910062,40.28,97.2,63.86,23,57,8.77
285,Nouadhibou,MR,1589910062,20.93,-17.03,75.2,60,0,17.22
286,Tilichiki,RU,1589910062,60.47,166.1,24.75,98,46,7.9
287,Baní,DO,1589909806,18.28,-70.33,89.6,55,75,18.34
288,Madingou,CG,1589910062,-4.15,13.55,78.21,85,99,1.92
289,Sibu,MY,1589910062,2.3,111.82,78.8,94,40,0.78
290,Evensk,RU,1589910062,61.95,159.23,34.97,82,0,8.28
291,Copperas Cove,US,1589910062,31.12,-97.9,95.0,49,1,6.93
292,Moranbah,AU,1589910063,-22.0,148.05,64.02,83,87,10.6
293,Bangangté,CM,1589910063,5.14,10.52,65.12,100,73,3.91
294,Pascagoula,US,1589910040,30.37,-88.56,87.8,55,20,8.05
295,Baker City,US,1589910023,44.77,-117.83,55.4,54,90,9.17
296,Gaza,PS,1589910063,31.5,34.47,84.99,29,0,1.99
297,Airai,TL,1589910063,-8.93,125.41,60.03,100,100,2.82
298,Hede,CN,1589910063,33.77,120.25,59.11,58,29,4.85
299,Nizhniy Chir,RU,1589910063,48.36,43.09,53.53,58,52,9.69
300,Severo-Yeniseyskiy,RU,1589910063,60.37,93.04,52.92,64,3,1.21
301,Flinders,AU,1589909902,-34.58,150.86,62.01,85,100,1.01
302,Kiryat Gat,IL,1589910063,31.61,34.76,95.0,48,0,13.04
303,Yenagoa,NG,1589910063,4.92,6.26,78.8,88,70,6.67
304,Tartous,SY,1589910063,34.89,35.89,86.0,55,2,2.24
305,Willowmore,ZA,1589910063,-33.29,23.49,57.54,37,0,3.42
306,Saint Andrews,US,1589910063,34.05,-81.13,81.0,51,75,10.29
307,Aklera,IN,1589910063,24.42,76.57,89.02,14,11,1.74
308,Baracoa,CU,1589910064,20.35,-74.5,89.78,55,70,5.82
309,Aba,NG,1589910064,5.11,7.37,79.18,84,74,6.15
310,Port Lincoln,AU,1589910064,-34.73,135.87,52.54,70,17,13.49
311,Shīeli,KZ,1589910064,44.17,66.75,62.92,36,67,9.04
312,Livingston,GB,1589910032,55.9,-3.52,62.6,77,90,12.75
313,Qaqortoq,GL,1589910064,60.72,-46.03,55.4,19,20,11.41
314,Douglas,US,1589910064,41.3,-96.17,61.0,72,90,6.89
315,Tynda,RU,1589910064,55.17,124.72,39.97,91,100,2.55
316,Upata,VE,1589910064,8.01,-62.4,96.48,26,39,7.09
317,Anloga,GH,1589910064,5.79,0.9,82.4,74,75,8.05
318,Blackwater,AU,1589910064,-23.58,148.88,59.86,90,50,7.16
319,Chaman,PK,1589910064,30.92,66.45,73.26,19,0,1.21
320,Olafsvik,IS,1589910064,64.89,-23.71,45.36,63,10,5.19
321,Naze,JP,1589910064,28.37,129.48,73.4,56,100,11.41
322,Lagos,NG,1589910002,6.58,3.75,80.6,83,40,2.24
323,Kathu,TH,1589910065,7.92,98.33,80.6,88,20,12.68
324,Constantine,DZ,1589909791,36.37,6.61,69.8,43,20,12.75
325,Buala,SB,1589910065,-8.14,159.59,80.89,83,16,8.86
326,Hoquiam,US,1589910065,46.98,-123.89,54.0,93,90,11.41
327,Bandar,ID,1589910065,2.05,99.75,75.11,93,98,2.8
328,Mahanje,TZ,1589910065,-9.93,35.33,62.38,85,50,1.21
329,Ayr,GB,1589910065,55.46,-4.63,59.0,93,75,3.36
330,Ponta Delgada,PT,1589910065,37.73,-25.67,64.4,82,75,13.87
331,Husavik,IS,1589910065,66.04,-17.34,50.0,39,20,8.05
332,Hoskote,IN,1589910065,13.07,77.8,78.8,83,40,12.75
333,Kuytun,RU,1589910065,54.34,101.5,50.81,61,31,5.73
334,Virginia Beach,US,1589909927,36.85,-75.98,59.0,82,90,17.22
335,Guerrero Negro,MX,1589910065,27.98,-114.06,71.02,61,52,20.47
336,Jiwani,PK,1589910066,25.05,61.74,86.47,64,0,5.41
337,Indiaroba,BR,1589910066,-11.52,-37.51,80.4,88,83,5.08
338,Tautira,PF,1589910066,-17.73,-149.15,78.8,83,75,2.24
339,Kuril'sk,RU,1589910066,45.23,147.88,34.12,90,56,7.78
340,Farmington,US,1589909929,36.73,-108.22,78.01,14,1,18.34
341,Sawākin,SD,1589910066,19.11,37.33,91.71,45,17,6.29
342,Black River,JM,1589910066,18.03,-77.85,90.0,70,40,11.41
343,Sembabule,UG,1589910066,-0.08,31.46,64.02,92,43,4.32
344,Bayir,TR,1589910066,37.27,28.22,80.6,57,97,2.24
345,Sirte,LY,1589909796,31.21,16.59,69.96,82,53,20.62
346,Narasannapeta,IN,1589910066,18.42,84.05,85.86,45,100,6.73
347,Timrå,SE,1589910066,62.49,17.33,50.0,46,98,10.29
348,Beibei,CN,1589910066,29.83,106.43,84.2,48,45,4.47
349,Nuuk,GL,1589910066,64.18,-51.72,35.6,84,90,6.93
350,Cody,US,1589910056,44.53,-109.06,73.99,35,1,13.87
351,Methóni,GR,1589909834,36.82,21.7,86.0,35,99,8.81
352,Aklavik,CA,1589910067,68.22,-135.01,30.2,58,90,2.24
353,Chauk,MM,1589910067,20.88,94.82,87.46,56,65,17.43
354,Vestmanna,FO,1589910067,62.16,-7.17,46.4,81,97,13.87
355,Dunedin,NZ,1589910067,-45.87,170.5,43.0,82,7,3.47
356,Esso,RU,1589910067,55.93,158.7,27.12,93,79,2.66
357,Mersing,MY,1589910067,2.43,103.84,82.4,88,99,4.7
358,Lompoc,US,1589910009,34.64,-120.46,64.0,67,40,9.17
359,Honningsvåg,NO,1589910067,70.98,25.97,37.4,86,75,5.82
360,Vágur,FO,1589910067,61.47,-6.81,47.46,89,100,11.12
361,Manokwari,ID,1589910068,-0.87,134.08,80.8,76,47,3.36
362,Mayumba,GA,1589910068,-3.43,10.66,78.33,84,91,5.57
363,São Francisco,BR,1589909869,-15.95,-44.86,80.85,58,11,8.21
364,De Aar,ZA,1589910068,-30.65,24.01,61.97,30,0,6.17
365,Ahipara,NZ,1589910068,-35.17,173.17,50.43,79,0,4.92
366,Grootfontein,NA,1589910068,-19.57,18.12,59.29,34,0,6.87
367,Mount Isa,AU,1589910068,-20.73,139.5,71.6,46,98,9.17
368,Vallenar,CL,1589910068,-28.57,-70.76,72.75,28,48,5.59
369,Glendive,US,1589910068,47.11,-104.71,71.01,62,61,1.01
370,Ewo,CG,1589910068,-0.87,14.82,77.07,84,100,4.7
371,Faya,SA,1589910068,18.39,42.45,68.0,59,20,3.36
372,Gorontalo,ID,1589910068,0.54,123.06,76.12,89,100,1.19
373,Bowen,AU,1589910068,-20.02,148.23,72.0,94,75,8.05
374,Praia da Vitória,PT,1589910069,38.73,-27.07,64.4,68,40,10.02
375,Launceston,AU,1589910069,-41.45,147.17,54.0,87,90,18.34
376,Windhoek,NA,1589910069,-22.56,17.08,64.4,20,0,3.36
377,Zyryanka,RU,1589910069,65.75,150.85,34.79,87,0,17.47
378,Araouane,ML,1589910069,18.9,-3.53,100.33,9,0,11.88
379,Ayagoz,KZ,1589910069,47.97,80.44,61.66,49,100,10.33
380,Belen,TR,1589910069,36.49,36.22,86.0,33,0,8.05
381,Dolisie,CG,1589910069,-4.2,12.67,75.07,92,100,6.85
382,Barcelos,PT,1589910069,41.54,-8.62,81.0,64,0,11.41
383,Estelle,US,1589910069,29.85,-90.11,89.01,58,40,8.05
384,Manggar,ID,1589910069,-2.88,108.27,82.2,86,47,6.31
385,Jasło,PL,1589910069,49.75,21.47,71.6,37,42,9.17
386,Mahon,ES,1589910069,39.89,4.27,73.4,53,0,5.82
387,Bom Jesus,BR,1589910069,-9.07,-44.36,88.14,49,5,6.96
388,Honolulu,US,1589909936,21.31,-157.86,78.8,69,40,8.05
389,Port Hardy,CA,1589910070,50.7,-127.42,51.8,76,90,2.24
390,Saint-François,FR,1589910070,46.42,3.91,75.2,25,0,12.75
391,Iturama,BR,1589909941,-19.73,-50.2,81.1,52,0,6.78
392,Huarmey,PE,1589910070,-10.07,-78.15,72.48,65,55,10.56
393,Mankono,CI,1589910070,8.06,-6.19,85.68,62,81,2.3
394,Inta,RU,1589910070,66.03,60.17,49.51,78,100,11.45
395,St. Marys,US,1589909802,30.73,-81.55,88.0,51,75,11.41
396,Namatanai,PG,1589910070,-3.67,152.43,80.46,83,63,9.64
397,Sinnamary,GF,1589910070,5.38,-52.95,82.56,82,19,9.86
398,Kaitangata,NZ,1589910070,-46.28,169.85,42.01,82,29,4.76
399,Kahului,US,1589909784,20.89,-156.47,78.8,65,40,9.17
400,La Ronge,CA,1589910070,55.1,-105.28,55.4,76,90,11.41
401,Saint-Augustin,CA,1589910070,51.23,-58.65,48.25,52,80,9.62
402,Atar,MR,1589910071,20.52,-13.05,102.24,11,8,13.8
403,Nicoya,CR,1589910071,10.15,-85.45,89.6,59,75,6.93
404,Boulder City,US,1589909978,35.98,-114.83,68.0,16,1,16.11
405,Nome,US,1589910071,64.5,-165.41,50.0,42,1,16.11
406,Kimberley,ZA,1589910071,-28.73,24.76,55.4,58,93,3.36
407,Kenai,US,1589909972,60.55,-151.26,50.0,76,75,13.87
408,Japura,ID,1589910071,-0.32,102.35,77.13,96,91,2.53
409,Santa Marta,CO,1589910071,11.24,-74.2,89.6,70,90,9.17
410,Marabba,SD,1589910071,12.35,32.18,90.07,39,42,8.12
411,Belmonte,BR,1589910071,-15.86,-38.88,80.6,65,40,8.05
412,Lamu,KE,1589910071,-2.27,40.9,79.11,83,91,21.03
413,Megion,RU,1589910071,61.03,76.11,71.6,46,20,11.18
414,Teguise,ES,1589910071,29.06,-13.56,75.2,78,1,5.82
415,Mehamn,NO,1589910072,71.04,27.85,37.4,86,75,5.82
416,Spornoye,RU,1589910072,50.84,37.29,53.6,71,75,8.95
417,Kokkola,FI,1589910072,63.84,23.13,46.4,77,67,14.99
418,Grand Gaube,MU,1589910072,-20.01,57.66,71.01,67,44,5.01
419,Vawkavysk,BY,1589910072,53.16,24.45,49.57,92,100,14.29
420,Srednekolymsk,RU,1589910072,67.45,153.68,30.09,94,1,11.83
421,Slave Lake,CA,1589910072,55.28,-114.77,44.6,87,90,5.82
422,Eydhafushi,MV,1589910072,5.1,73.07,85.17,75,59,17.27
423,Bubaque,GW,1589910072,11.28,-15.83,79.86,69,11,13.02
424,Nanyang,CN,1589910072,32.99,112.53,72.5,44,100,1.32
425,Kichera,RU,1589910072,55.94,110.1,47.59,66,98,6.93
426,Ojinaga,MX,1589910073,29.57,-104.42,96.8,14,1,3.36
427,Oranjemund,NA,1589910073,-28.55,16.43,67.53,42,76,10.36
428,Mahon,ES,1589910073,39.89,4.27,73.4,53,0,5.82
429,Gerāsh,IR,1589910073,27.67,54.14,87.8,22,91,1.72
430,Shenjiamen,CN,1589910073,29.96,122.3,65.68,77,5,11.07
431,Mt. Pleasant,US,1589909776,32.79,-79.86,82.99,78,90,11.41
432,Sangar,RU,1589910073,63.92,127.47,44.13,61,13,5.21
433,Camaçari,BR,1589910073,-12.7,-38.32,77.0,94,75,18.34
434,Vallam,IN,1589910073,10.72,79.08,89.6,59,20,13.87
435,Galle,LK,1589910073,6.04,80.22,83.35,85,84,16.87
436,Bereda,ES,1589910074,43.27,-7.54,82.0,46,0,4.0
437,Poli,TZ,1589910074,-3.33,36.8,57.88,95,81,4.74
438,Oddur,SO,1589910074,4.12,43.89,79.56,67,22,14.5
439,Matara,LK,1589910074,5.95,80.54,82.08,87,86,15.19
440,Dwārka,IN,1589910074,22.24,68.97,82.33,83,0,12.82
441,Conceição do Araguaia,BR,1589910075,-8.26,-49.26,89.6,55,17,6.93
442,Hamada,JP,1589910075,34.88,132.08,56.59,84,56,9.62
443,Carballo,ES,1589910075,43.21,-8.69,77.0,31,0,5.82
444,Severo-Kuril'sk,RU,1589910074,50.68,156.12,36.36,88,78,9.15
445,Easley,US,1589909818,34.83,-82.6,75.99,100,90,3.36
446,Hanna,CA,1589910076,51.63,-111.9,55.0,67,84,14.0
447,Aksu,CN,1589910076,41.12,80.26,74.61,24,100,18.5
448,Antalaha,MG,1589910077,-14.9,50.28,72.63,80,21,11.7
449,Aktash,RU,1589910077,50.3,87.73,45.28,80,70,2.13
450,Praia,CV,1589910077,14.92,-23.51,78.8,57,40,21.92
451,Beloha,MG,1589910077,-25.17,45.05,63.14,79,1,9.95
452,Kushiro,JP,1589910077,42.98,144.37,35.31,90,100,8.34
453,Coxim,BR,1589910077,-18.51,-54.76,86.31,43,8,7.02
454,Tremedal,BR,1589910077,-14.98,-41.41,77.92,59,79,8.81
455,Tiksi,RU,1589910077,71.69,128.87,29.25,98,96,2.53
456,Berdigestyakh,RU,1589910078,62.1,126.7,42.35,82,22,5.14
457,Denia,ES,1589910078,38.84,0.11,75.0,57,22,1.99
458,Kjøllefjord,NO,1589910078,70.95,27.35,37.4,86,75,5.82
459,Baião,BR,1589910078,-2.79,-49.67,84.11,85,9,3.76
460,Kabwe,ZM,1589910078,-14.45,28.45,58.6,65,0,6.46
461,Alakurtti,RU,1589910078,66.97,30.35,42.01,50,97,4.0
462,Antsohihy,MG,1589910014,-14.88,47.99,74.66,59,0,10.09
463,Khāmgaon,IN,1589910078,20.68,76.57,91.78,21,2,11.45
464,San Vicente,AR,1589910078,-26.62,-54.13,76.77,42,0,6.02
465,Plátanos,GR,1589910078,37.67,21.62,84.2,39,99,4.7
466,Seoul,KR,1589909946,37.57,126.98,51.8,66,34,10.29
467,Touros,BR,1589909876,-5.2,-35.46,87.8,66,40,12.75
468,Chililabombwe,ZM,1589909891,-12.36,27.82,60.46,65,2,3.4
469,Grants Pass,US,1589910078,42.44,-123.33,55.99,58,90,6.93
470,Aberdeen,GB,1589910079,57.14,-2.1,66.2,55,75,12.75
471,San Cristobal,VE,1589910079,7.77,-72.22,75.2,60,75,25.28
472,Wahiawā,US,1589910079,21.5,-158.02,75.2,94,90,3.36
473,Lokosovo,RU,1589910079,61.13,74.82,66.61,63,42,11.99
474,Emirdağ,TR,1589910079,39.02,31.15,73.22,40,71,4.34
475,Poiana Teiului,RO,1589910079,47.1,25.97,71.01,44,33,4.41
476,Koumac,NC,1589910079,-20.57,164.28,66.97,72,13,7.36
477,Tevriz,RU,1589910079,57.51,72.4,56.41,77,63,6.89
478,Ukiah,US,1589910079,39.15,-123.21,59.0,62,75,6.93
479,Pyinmana,MM,1589910079,19.73,96.22,78.39,76,99,4.81
480,Carutapera,BR,1589910079,-1.2,-46.02,86.59,65,4,9.22
481,Athabasca,CA,1589910079,54.72,-113.29,52.03,67,99,5.88
482,Khilok,RU,1589910079,51.37,110.47,46.96,68,66,2.93
483,Panzhihua,CN,1589910079,26.59,101.71,75.07,48,10,1.54
484,Malakal,SS,1589910079,9.53,31.66,88.47,48,31,1.9
485,Matagami,CA,1589910080,49.75,-77.63,59.0,21,1,8.05
486,Codajás,BR,1589910080,-3.84,-62.06,88.38,66,72,1.36
487,Dalbandin,PK,1589910080,28.89,64.41,85.39,14,0,7.81
488,Kota Belud,MY,1589910080,6.35,116.43,80.6,88,20,5.82
489,Cairns,AU,1589910080,-16.92,145.77,75.2,94,90,4.7
490,Jilib,SO,1589910080,0.49,42.79,75.36,92,100,6.6
491,Amapá,BR,1589910080,1.0,-52.0,86.32,66,44,4.99
492,Haines Junction,CA,1589910080,60.75,-137.51,44.74,71,83,3.06
493,Plácido de Castro,BR,1589910080,-10.34,-67.19,82.81,82,77,1.03
494,Burladingen,DE,1589910080,48.28,9.12,69.01,47,1,1.99
495,Ostrovnoy,RU,1589910081,68.05,39.51,34.09,90,87,11.18
496,Finnsnes,NO,1589910081,69.23,17.98,39.2,64,75,14.99
497,Tsaghkahovit,AM,1589910081,40.63,44.22,55.4,67,4,8.05
498,Peabiru,BR,1589910081,-23.91,-52.34,78.08,50,1,9.17
499,San Ignacio,BZ,1589909857,17.16,-89.07,93.0,66,40,4.7
500,Nhulunbuy,AU,1589910081,-12.23,136.77,80.6,83,90,9.17
501,Rawson,AR,1589910081,-43.3,-65.1,58.37,35,99,10.22
502,Laguna,US,1589910081,38.42,-121.42,64.99,67,40,5.82
503,Abnūb,EG,1589910081,27.27,31.15,97.05,12,23,4.5
504,Nemuro,JP,1589910081,43.32,145.57,37.42,86,99,8.59
505,Pánuco,MX,1589910081,22.05,-98.17,87.8,70,40,11.41
506,Kargasok,RU,1589910081,59.06,80.86,64.94,55,2,10.16
507,Lianzhou,CN,1589910081,24.78,112.38,72.16,85,0,1.45
508,Mahajanga,MG,1589910081,-15.72,46.32,75.2,53,0,4.7
509,Saint-Joseph,RE,1589910082,-21.37,55.62,69.8,68,75,9.17
510,Gao,ML,1589910082,16.64,1.64,100.38,8,44,6.33
511,Wuda,CN,1589910082,39.5,106.71,67.3,25,18,9.17
512,Atambua,ID,1589910082,-9.11,124.89,73.29,90,99,4.92
513,Teya,RU,1589910082,60.38,92.63,56.19,59,0,0.85
514,Ovsyanka,RU,1589910082,55.96,92.55,50.0,76,7,2.24
515,Yarim,YE,1589910082,14.3,44.38,61.88,68,65,1.48
516,Hohhot,CN,1589910082,40.81,111.65,53.6,33,28,4.47
517,Hagi,JP,1589910082,34.4,131.42,62.01,69,47,3.0
518,Batagay-Alyta,RU,1589910082,67.8,130.41,33.48,87,0,2.3
519,Contamana,PE,1589910082,-7.33,-75.02,88.03,61,5,3.62
520,Khammam,IN,1589910083,17.25,80.15,89.47,46,100,8.28
521,Srandakan,ID,1589910083,-7.94,110.25,78.01,88,6,4.03
522,Kurchum,KZ,1589910083,48.57,83.65,65.95,49,65,5.39
523,Itaituba,BR,1589910083,-4.28,-55.98,87.8,74,40,2.86
524,Hernani,ES,1589910083,43.27,-1.98,68.0,68,1,4.7
525,Lagoa,PT,1589910083,39.05,-27.98,60.98,65,100,11.32
526,Kuruman,ZA,1589909823,-27.45,23.43,58.42,35,61,4.21
527,Maningrida,AU,1589910083,-12.07,134.27,73.49,89,45,8.43
528,Duluth,US,1589909956,46.78,-92.11,62.6,65,90,17.22
529,Yenotayevka,RU,1589910083,47.25,47.03,55.8,48,48,12.55
530,Biak,ID,1589910083,-0.91,122.88,77.94,83,99,3.44
531,Walvis Bay,NA,1589910083,-22.96,14.51,86.0,16,0,8.05
532,Dzhebariki-Khaya,RU,1589910083,62.22,135.8,39.2,75,47,1.66
533,Kumul,CN,1589910083,42.8,93.45,81.77,20,6,19.77
534,Sinegorskiy,RU,1589910083,48.01,40.84,54.95,62,91,4.27
535,Kushima,JP,1589910083,31.46,131.23,62.71,76,100,11.79
536,Puebloviejo,CO,1589910084,10.99,-74.28,89.6,70,90,9.17
537,Candelaria,PH,1589909797,13.93,121.42,79.0,92,27,0.13
538,Yeppoon,AU,1589910084,-23.13,150.73,66.2,82,47,6.93
539,Iguape,BR,1589910084,-24.71,-47.56,72.48,76,84,6.98
540,Marrakesh,MA,1589910037,31.63,-8.01,96.8,12,12,3.36
541,Paciran,ID,1589910084,-6.88,112.38,78.91,89,91,7.87
542,Urengoy,RU,1589910084,65.97,78.37,65.37,63,42,10.42
543,Astorga,BR,1589910084,-23.23,-51.67,82.4,39,20,11.41
544,Kyshtovka,RU,1589910084,56.55,76.63,62.33,80,66,7.27
545,Garoowe,SO,1589910084,8.41,48.48,92.57,36,60,14.76
546,El Tigre,VE,1589910084,8.89,-64.25,96.66,26,35,11.36
